PRESENT
    Q1: He eats /
    R1: com /
    T1: er /
    A1: come /

    Q2: We want /
    R2: quer /
    T2: er /
    A2: queremos /

    Q3: They sleep /
    R3: dorm /
    T3: ir /
    A3: duermen /

    Q4: I talk  /
    R4: habl /
    T4: ar /
    A4: hablo /

    Q5: We listen /
    R5: escuch /
    T5: ar /
    A5: escuchamos /

    Q6: You guys (pl. fam.) paint /
    R6: pint /
    T6: ar /
    A6: pinta'is /

    Q7: We applaud /
    R7: aplaud /
    T7: ir /
    A7: aplaudimos /

    Q8: You describe /
    R8: describ /
    T8: ir /
    A8: describes /

    Q9: You receive /
    R9: recib /
    T9: ir /
    A9: recibes /

    Q10: I drink /
    R10: beb /
    T10: er /
    A10: bebo /

    Q11: You guys (pl. fam.) tell /
    R11: cont /
    T11: ar /
    A11: conta'is /

    Q12: You leave /
    R12: dej /
    T12: ar /
    A12: dejas /

    Q13: We should /
    R13: deb /
    T13: er /
    A13: debemos /

    Q14: He finds /
    R14: encontr /
    T14: ar /
    A14: encuentra /

    Q15: They pass /
    R15: pas /
    T15: ar /
    A15: pasan /

    Q16: I take /
    R16: tom /
    T16: ar /
    A16: tomo /

    Q17: It occurs /
    R17: ocurr /
    T17: ir /
    A17: ocurre /

    Q18: They (pl. fam.) enter /
    R18: entr /
    T18: ar /
    A18: entra'is /

    Q19: They (pl. fam.) exist /
    R19: exist /
    T19: ir /
    A19: existi's /

    Q20: They wait /
    R20: esper /
    T20: ar /
    A20: esperan /
PRESENT /

PRETERITE
    Q1: I called /
    R1: llam /
    T1: ar /
    A1: Llame' /

    Q2: He lived /
    R2: viv /
    T2: ir /
    A2: vivio' /

    Q3: You bought /
    R3: compr /
    T3: ar /
    A3: compraste /

    Q4: We talked  /
    R4: habl /
    T4: ar /
    A4: hablamos /

    Q5: They had /
    R5: ten /
    T5: er /
    A5: tuvieron /

    Q6: You guys (pl. fam.) began /
    R6: empez /
    T6: ar /
    A6: empezasteis /

    Q7: She got up /
    R7: levant /
    T7: ar /
    A7: se levanto' /

    Q8: You saw /
    R8: v /
    T8: er /
    A8: viste /

    Q9: They ate /
    R9: com /
    T9: er /
    A9: comieron /

    Q10: You guys (pl. fam.) sang /
    R10: cant /
    T10: ar /
    A10: cantasteis /

    Q11: I waited /
    R11: esper /
    T11: ar /
    A11: espere' /

    Q12: It occurred /
    R12: ocurr /
    T12: ir /
    A12: ocurrio' /

    Q13: He took /
    R13: tom /
    T13: ar /
    A13: tomo' /

    Q14: They told /
    R14: cont /
    T14: ar /
    A14: contaron /

    Q15: You guys (pl. fam.) entered /
    R15: entr /
    T15: ar /
    A15: entrasteis /

    Q16: You helped /
    R16: ayud /
    T16: ar /
    A16: ayudaste /

    Q17: He played /
    R17: jug /
    T17: ar /
    A17: jugo' /

